date,volume,low,close,open,high
2023-04-04,395557407.00,52.25,56.14,52.25,56.58
2023-04-03,342741989.00,52.00,52.45,52.32,53.68
2023-03-31,313836079.00,52.90,53.01,53.52,54.99
2023-03-30,255988419.00,52.61,53.90,53.73,54.28
2023-03-29,521513277.00,50.28,53.66,50.76,55.46
2023-03-28,343504820.00,48.33,50.80,49.20,51.44
2023-03-27,202130657.00,48.92,49.10,49.93,50.30
2023-03-24,280405967.00,49.45,49.72,51.37,52.37
2023-03-23,323186811.00,50.23,51.11,52.17,52.40
2023-03-22,233071197.00,51.90,52.18,53.15,54.20
2023-03-21,207996214.00,52.72,53.16,53.11,54.08
2023-03-20,452429934.00,51.69,53.21,54.31,54.88
2023-03-17,470016612.00,54.76,55.09,59.06,59.20
2023-03-16,330797279.00,57.00,59.05,57.90,59.94
2023-03-15,282114270.00,57.32,58.21,58.32,59.30
2023-03-14,480397175.00,56.65,57.67,60.30,60.30
2023-03-13,689343060.00,53.19,60.44,54.85,60.78
2023-03-10,268464652.00,54.68,55.28,55.11,56.00
2023-03-09,207270372.00,54.33,55.10,54.54,55.20
2023-03-08,231852802.00,53.20,54.98,53.63,55.50
2023-03-07,262211615.00,53.60,53.77,54.42,55.32
2023-03-06,328289965.00,52.89,54.50,54.86,55.49
2023-03-03,461137877.00,52.58,54.88,52.97,55.49
2023-03-02,269464494.00,51.75,53.05,52.60,53.78
2023-03-01,288646878.00,51.70,52.61,52.91,53.44
2023-02-28,409451886.00,51.60,52.98,51.80,53.85
2023-02-27,408055830.00,51.43,51.48,53.37,54.88
2023-02-24,431226458.00,51.32,53.36,51.32,53.70
2023-02-23,394337500.00,49.83,51.60,50.66,52.66
2023-02-22,553119329.00,47.39,51.08,47.39,52.00
2023-02-21,426258288.00,46.21,47.39,46.21,48.74
2023-02-20,144746673.00,44.89,45.74,46.00,46.13
2023-02-17,187591089.00,45.00,45.68,45.68,46.05
2023-02-16,193114472.00,44.87,45.39,46.26,46.88
2023-02-15,148019044.00,45.88,46.10,46.70,46.99
2023-02-14,139672441.00,46.20,46.54,47.00,47.38
2023-02-13,190199289.00,46.06,46.81,46.44,47.21
2023-02-10,123103929.00,45.90,46.44,46.26,46.86
2023-02-09,200814306.00,45.99,46.32,46.31,47.36
2023-02-08,229736609.00,46.05,46.34,46.90,47.18
2023-02-07,336399168.00,46.60,47.05,47.98,48.25
2023-02-06,565964545.00,47.05,47.97,47.05,49.00
2023-02-03,693981361.00,45.50,46.58,48.73,49.10
2023-02-02,941922916.00,45.01,48.80,45.10,49.38
2023-02-01,637341025.00,43.23,44.89,43.34,45.88
2023-01-31,441618439.00,39.19,42.60,39.50,42.60
2023-01-30,102482579.00,38.66,38.73,38.67,39.20
2023-01-20,62919740.00,38.17,38.49,38.17,38.78
2023-01-19,62605020.00,37.55,38.21,37.81,38.48
2023-01-18,48905561.00,37.70,37.81,37.90,38.15
2023-01-17,73375307.00,37.64,38.00,38.12,38.43
2023-01-16,145877349.00,37.46,38.23,37.50,38.51
2023-01-13,57055455.00,36.18,36.80,36.29,36.89
2023-01-12,49963470.00,36.15,36.29,36.30,36.75
